epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,137.7,0.89091,0.52388,0.96902,0.99656,0.88889,0.90566,0.73515,0.82438,0.44047,0.89737,0.0012179,0.0012179,0.0012179
81,139.246,0.90423,0.52737,1.04432,0.99644,0.88889,0.90763,0.76501,0.75016,0.44677,0.88566,0.001208,0.001208,0.001208
82,141.017,0.88733,0.52416,1.00084,0.99665,0.88889,0.91295,0.80236,0.58971,0.42151,0.84468,0.0011981,0.0011981,0.0011981
83,142.675,0.93003,0.51985,1.03084,0.99685,0.88889,0.89985,0.77574,0.62511,0.44496,0.85533,0.0011882,0.0011882,0.0011882
84,144.297,0.90813,0.52802,1.00445,0.99584,0.88889,0.89254,0.74872,0.67479,0.45157,0.86878,0.0011783,0.0011783,0.0011783
85,145.948,0.87163,0.51759,0.98138,0.99499,0.88889,0.8926,0.78305,0.6568,0.46571,0.86568,0.0011684,0.0011684,0.0011684
86,147.62,0.94875,0.56291,1.04032,0.99432,0.88889,0.90033,0.78582,0.63725,0.44951,0.85766,0.0011585,0.0011585,0.0011585
87,149.316,0.86157,0.50428,0.96837,0.99653,0.88889,0.91069,0.79331,0.6859,0.44743,0.8739,0.0011486,0.0011486,0.0011486
88,150.968,0.88039,0.5055,1.00185,0.99635,0.88889,0.91777,0.79824,0.66183,0.42783,0.863,0.0011387,0.0011387,0.0011387
89,152.55,0.87086,0.49715,1.00216,0.99652,0.88889,0.91668,0.79178,0.64972,0.45492,0.8571,0.0011288,0.0011288,0.0011288
90,154.201,0.8827,0.50454,0.98727,0.99642,0.88889,0.90763,0.76649,0.80817,0.49301,0.9041,0.0011189,0.0011189,0.0011189
91,155.856,0.87931,0.49699,1.00002,0.99601,0.88889,0.90084,0.73923,0.76517,0.46606,0.9056,0.001109,0.001109,0.001109
92,157.487,0.86948,0.50649,0.9934,0.99467,0.88889,0.89659,0.78797,0.65559,0.48807,0.87551,0.0010991,0.0010991,0.0010991
93,159.11,0.85612,0.50032,0.97783,0.99388,0.88889,0.89645,0.78285,0.66639,0.50843,0.88538,0.0010892,0.0010892,0.0010892
94,160.712,0.8896,0.51708,0.99612,0.99473,0.88889,0.90084,0.78032,0.65248,0.47692,0.87329,0.0010793,0.0010793,0.0010793
95,162.423,0.87675,0.4976,0.98778,0.99581,0.88889,0.90612,0.79823,0.64463,0.43852,0.87403,0.0010694,0.0010694,0.0010694
96,164.027,0.83275,0.47633,0.978,0.99645,0.88889,0.90228,0.8128,0.55767,0.39677,0.85867,0.0010595,0.0010595,0.0010595
97,165.636,0.84673,0.49077,0.9937,0.99633,0.88889,0.90033,0.80839,0.55145,0.39804,0.86254,0.0010496,0.0010496,0.0010496
98,167.222,0.87699,0.4924,0.99117,0.9951,0.88889,0.90058,0.78082,0.66426,0.4193,0.88433,0.0010397,0.0010397,0.0010397
99,168.79,0.82545,0.47358,0.99261,0.99614,0.88889,0.90522,0.78104,0.63281,0.39054,0.8544,0.0010298,0.0010298,0.0010298
100,170.45,0.80728,0.47355,0.97065,0.9968,0.88889,0.90818,0.78623,0.6252,0.41289,0.85524,0.0010199,0.0010199,0.0010199
101,172,0.82416,0.47341,0.96247,0.99729,0.88889,0.91566,0.79536,0.67053,0.43188,0.8723,0.00101,0.00101,0.00101
102,173.612,0.88425,0.50251,1.01889,0.99774,0.88889,0.9147,0.7767,0.69964,0.46638,0.88531,0.0010001,0.0010001,0.0010001
103,175.178,0.86008,0.48927,0.97805,0.99721,0.88889,0.90818,0.77242,0.74229,0.49234,0.89705,0.0009902,0.0009902,0.0009902
104,176.87,0.88421,0.49686,1.00818,0.99677,0.88889,0.90763,0.7927,0.58218,0.44112,0.86258,0.0009803,0.0009803,0.0009803
105,178.393,0.87555,0.51863,0.97837,0.99674,0.88889,0.9026,0.82212,0.57745,0.43939,0.85963,0.0009704,0.0009704,0.0009704
106,180.001,0.8592,0.48876,0.97719,0.99671,0.88889,0.9048,0.79109,0.6842,0.44577,0.87614,0.0009605,0.0009605,0.0009605
107,181.607,0.77491,0.46225,0.94525,0.99644,0.88889,0.9114,0.78754,0.79123,0.46752,0.89896,0.0009506,0.0009506,0.0009506
108,183.17,0.84956,0.48412,0.96868,0.99641,0.88889,0.91069,0.7945,0.692,0.45688,0.86146,0.0009407,0.0009407,0.0009407
109,184.751,0.85029,0.49462,0.98194,0.99648,0.88889,0.91001,0.80104,0.63373,0.44145,0.84451,0.0009308,0.0009308,0.0009308
110,186.316,0.82744,0.48473,0.97125,0.99663,0.88889,0.90763,0.79938,0.61842,0.45433,0.83918,0.0009209,0.0009209,0.0009209
111,187.904,0.7827,0.46682,0.9409,0.99665,0.88889,0.9138,0.79895,0.66004,0.46682,0.85157,0.000911,0.000911,0.000911
112,189.539,0.81712,0.48282,0.97859,0.99651,0.88889,0.91295,0.77895,0.64736,0.48497,0.86126,0.0009011,0.0009011,0.0009011
113,191.042,0.80262,0.46447,0.9709,0.9966,0.88889,0.91215,0.79276,0.62639,0.49131,0.85689,0.0008912,0.0008912,0.0008912
114,192.797,0.79522,0.45503,0.97063,0.99667,0.88889,0.92155,0.82006,0.60887,0.48575,0.8536,0.0008813,0.0008813,0.0008813
